Id,CompanyName,CompanyTypeId,PrivateEquityCompanySectors,PrivateEquityPortfolioCompanies,VerticalId,SubVerticalId,NumberOfEmployees,LTMRevenue,LTM EBITA,CurrencyId,EnterpriseValue,YearFounded,ParentCompany,AssetsUnderManagement,AddressLine1,AddressLine2,City,PostCode,Country,Website,AdditionalDescription,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
COM_001,100% employee owned (ESOP),3,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_002,3i,3,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_003,5-Hour Energy,1,,,2,26,,,265.0,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_004,A Place for Mom,1,,,1,21,,,,,269,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_005,ABC Billing,1,,,1,3,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_006,ACG & PRP,1,,,2,27,,,30.0,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_007,AE Industrial,3,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_008,AEA,2,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_009,AEA Investors,3,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_010,AEA Investors LP,3,"- Consumer products
- Industrial","- Traeger (Current)
- Barnet (Cosmetic)",,,,,,1,,,,10.0,,,,,,www.aeainvestors.com,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_011,AR Capital,3,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_012,ASC,1,,,2,23,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_013,ATC Associates,1,,,1,4,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_014,AccentCare,1,,,3,28,,,68.0,,625.0,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_015,Acima Credit,1,,,2,23,,,57.0,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_016,Aclara Technologies,1,,,1,4,,,,,1040,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_017,AdMedia,2,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_018,Advanced Discovery,1,,,1,9,,,,,300,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_019,Advantage Capital,3,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_020,Advent Software,3,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_021,Advicent,1,,,1,14,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_022,Advisory Board Company,1,,,3,32,,,185.0,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_023,"Akamai, etc.",3,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_024,Alecto Healthcare Services,1,,,3,34,,,25.0,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_025,Allen & Co,2,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_026,Allergy Partners,1,,,3,28,,,22.0,,250.0,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_027,Altran,3,,,,,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
COM_028,AmTrust,1,,,1,15,,,,,,,,,,,,,,,,2025-07-14 12:16:12.568464,System_Data_Migration,2025-07-14 12:16:12.569357,System_Data_Migration
