Id,DealName,CompanyId,DealDate,InvestmentBankId,SourcingId,TransactionTypeId,EstimateEquityInvestment,SaleDate,SalePrice,SaleType,BuyingSponserId,SellingSponserId,StatusId,PortfolioCompanyStatus,ActiveStagesId,PassedRationale,DealLeadId,AdditionalDescription,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
DT_001,,COM_483,2018-02-02 00:00:00,COM_253,2.0,2.0,133.5,,,,,,1.0,,,,EMP_006,"Electrical testing, maintenance, and commissioning services",2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
DT_002,,COM_301,2018-02-02 00:00:00,,3.0,2.0,,,,,,,1.0,,,,EMP_001,"Provider of comprehensive, turnkey security solutions",2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
DT_003,,COM_096,2018-02-02 00:00:00,,3.0,2.0,,,,,,,1.0,,,,EMP_007,Provider of energy efficiency and demand management programs,2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
DT_004,,COM_401,2018-02-02 00:00:00,COM_066,2.0,2.0,340.0,,,,,,1.0,,,,EMP_009,Specialty contractor serving the electric power and energy pipeline infrastructure markets,2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
DT_005,,COM_051,2018-02-02 00:00:00,COM_062,2.0,2.0,500.0,,,,,,1.0,,,,EMP_008,Provider of remanufactured replacement parts to the automotive aftermarket,2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
DT_006,,COM_461,2018-02-02 00:00:00,,3.0,2.0,,,,,,,1.0,,,,EMP_006,"Provider of cooking oil solutions to the restaurant, hospitality and foodservice markets",2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
DT_007,,COM_398,2018-02-02 00:00:00,,3.0,2.0,,,,,,,1.0,,,,EMP_001,Provider of maintenance services to the transmission and distribution infrastructure grid,2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
DT_008,,COM_447,2018-02-02 00:00:00,,3.0,2.0,,,,,,,1.0,,,,EMP_007,"Managers of facilities services for retail, foodservice, and other industries",2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
DT_009,,COM_473,2018-02-02 00:00:00,COM_066,3.0,2.0,1025.0,,,,,,1.0,,,,EMP_009,Roofing distributor,2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
DT_010,,COM_161,2018-02-02 00:00:00,COM_457,3.0,2.0,550.0,,,,,,1.0,,,,EMP_008,Info services with focus on B2B sales,2025-07-14 11:31:53.600440,System_Data_Migration,2025-07-14 11:31:53.600547,System_Data_Migration
