Id,CompanyName,CompanyTypeId,PrivateEquityCompanySectors,PrivateEquityPortfolioCompanies,VerticalId,SubVerticalId,NumberOfEmployees,LTMRevenue,LTM EBITA,CurrencyId,EnterpriseValue,YearFounded,ParentCompany,AssetsUnderManagement,AddressLine1,AddressLine2,City,PostCode,Country,ContactId,Website,AdditionalDescription,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
COM_001,100% employee owned (ESOP),3,,,,,,,,,,,,,,,,,,,,,,,,
COM_002,3i,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_003,5-Hour Energy,1,,,2,26,,,265.0,,,,,,,,,,,,,,,,,
COM_004,A Place for Mom,1,,,1,21,,,,,269,,,,,,,,,,,,,,,
COM_005,ABC Billing,1,,,1,3,,,,,,,,,,,,,,,,,,,,
COM_006,ACG & PRP,1,,,2,27,,,30.0,,,,,,,,,,,,,,,,,
COM_007,AE Industrial,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_008,AEA,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_009,AEA Investors,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_010,AEA Investors LP,3,"- Consumer products
- Industrial","- Traeger (Current)
- Barnet (Cosmetic)",,,,,,1,,,,10.0,,,,,,,www.aeainvestors.com,,,,,
COM_011,AR Capital,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_012,ASC,1,,,2,23,,,,,,,,,,,,,,,,,,,,
COM_013,ATC Associates,1,,,1,4,,,,,,,,,,,,,,,,,,,,
COM_014,AccentCare,1,,,3,28,,,68.0,,625.0,,,,,,,,,,,,,,,
COM_015,Acima Credit,1,,,2,23,,,57.0,,,,,,,,,,,,,,,,,
COM_016,Aclara Technologies,1,,,1,4,,,,,1040,,,,,,,,,,,,,,,
COM_017,AdMedia,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_018,Advanced Discovery,1,,,1,9,,,,,300,,,,,,,,,,,,,,,
COM_019,Advantage Capital,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_020,Advent Software,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_021,Advicent,1,,,1,14,,,,,,,,,,,,,,,,,,,,
COM_022,Advisory Board Company,1,,,3,32,,,185.0,,,,,,,,,,,,,,,,,
COM_023,"Akamai, etc.",3,,,,,,,,,,,,,,,,,,,,,,,,
COM_024,Alecto Healthcare Services,1,,,3,34,,,25.0,,,,,,,,,,,,,,,,,
COM_025,Allen & Co,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_026,Allergy Partners,1,,,3,28,,,22.0,,250.0,,,,,,,,,,,,,,,
COM_027,Altran,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_028,AmTrust,1,,,1,15,,,,,,,,,,,,,,,,,,,,
COM_029,American Advisors Group,1,,,1,19,,,,,720,,,,,,,,,,,,,,,
COM_030,American Capital Equity,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_031,American Freight,1,,,2,25,,,46.0,,350.0,,,,,,,,,,,,,,,
COM_032,American Infrastructure Funds,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_033,American Medical Response,1,,,3,32,,,262.0,,,,,,,,,,,,,,,,,
COM_034,Amherst Pierpont,1,,,1,13,,,,,450,,,,,,,,,,,,,,,
COM_035,Andrews Advisory Group,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_036,Apax,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_037,Aqua Finance,1,,,1,19,,,,,,,,,,,,,,,,,,,,
COM_038,Aquiline Capital,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_039,Ares,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_040,Argon,1,,,3,31,,,74.0,,750.0,,,,,,,,,,,,,,,
COM_041,Aricent,1,,,1,38,,,,,1450,,,,,,,,,,,,,,,
COM_042,Array,1,,,2,23,,291.0,82.0,,700.0,,,,,,,,,,,,,,,
COM_043,Aryzta Facilities,1,,,2,24,,,-23.0,,90.0,,,,,,,,,,,,,,,
COM_044,"Ascension, Echo",3,,,,,,,,,,,,,,,,,,,,,,,,
COM_045,Atlanta Cheesecake,1,,,2,26,,,6.756756756756756,,50.0,,,,,,,,,,,,,,,
COM_046,Audax,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_047,Audax Private Equity,3,- Industrial,- Chem Specialty Chemicals,,,,,,1,,,,11.5,,,,,,,www.audaxprivateequity.com,- We have experience with specialty chemicals with with they have about 5 portfolio companies,,,,
COM_048,Augury,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_049,Aurora,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_050,BAML,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_051,BBB Industries,1,,,1,7,,,,,1000,,,,,,,,,,,,,,,
COM_052,BHI,1,,,1,4,,,,,36.4,,,,,,,,,,,,,,,
COM_053,BJ's Wholesale Club,1,,,2,25,,,515.0,,4000.0,,,,,,,,,,,,,,,
COM_054,BKD Corporate Finance,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_055,BMO,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_056,BMO,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_057,BR Partners,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_058,Back to Nature,1,,,2,26,,,10.4,,,,,,,,,,,,,,,,,
COM_059,Baird,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_060,Baird,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_061,Baird / Stifel,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_062,"Baird, Jefferies",2,,,,,,,,,,,,,,,,,,,,,,,,
COM_063,BakeMark,1,,,2,26,,,58.0,,,,,,,,,,,,,,,,,
COM_064,Bank of America,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_065,Barclays,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_066,Barclays,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_067,Barclays Goldman Sachs,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_068,"Barclays, BMO",2,,,,,,,,,,,,,,,,,,,,,,,,
COM_069,Baring Private Equity Asia,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_070,Bay State,1,,,3,29,,,7.5,,60.0,,,,,,,,,,,,,,,
COM_071,Belly,1,,,2,27,,,77.0,,,,,,,,,,,,,,,,,
COM_072,BenefitMall,1,,,1,14,,,,,,,,,,,,,,,,,,,,
COM_073,Benevis,1,,,3,29,,,43.0,,,,,,,,,,,,,,,,,
COM_074,Benson's,1,,,2,26,,,13.0,,80.0,,,,,,,,,,,,,,,
COM_075,Berkshire Partners,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_076,Berner Food & Beverage,1,,,2,26,,,58.0,,650.0,,,,,,,,,,,,,,,
COM_077,Bernhard Capital,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_078,Bessemer Venture,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_079,Bitnami,1,,,2,26,,,22.5,,135.0,,,,,,,,,,,,,,,
COM_080,BlackArch,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_081,BlackArch,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_082,Blaze Pizza,1,,,2,27,,,3.0,,200.0,,,,,,,,,,,,,,,
COM_083,Bluepay,1,,,1,3,,,,,,,,,,,,,,,,,,,,
COM_084,Boston Market,1,,,2,27,,,41.6,,,,,,,,,,,,,,,,,
COM_085,Brentwood Associates,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_086,Brightstar (U.S.),1,,,1,5,,,,,,,,,,,,,,,,,,,,
